Block,Container,Species,Width_mm,Notes
1,1,BUG,21.94,
1,2,BUG,20.87,
1,3,BUG,22.75,
1,4,BUG,23.52,
1,7,BUG,21.76,
1,8,BUG,22.44,
1,9,BUG,22.3,
1,10,BUG,20.21,
1,11,BUG,20.44,
1,12,BUG,20.9,
1,14,BUG,23.53,
1,15,BUG,20.39,
1,16,BUG,22.1,
1,17,BUG,22.2,
1,18,BUG,24.08,
1,19,BUG,22,
1,20,BUG,21.8,
1,21,BUG,23.2,
1,22,BUG,19.8,
1,23,BUG,20.9,
1,24,BUG,20.6,
2,1,BUG,22,
2,2,BUG,22.4,Changed container from 3 to 2
2,3,BUG,22.7,
2,4,BUG,20.6,
2,5,BUG,23.1,
2,6,BUG,22.3,
2,7,BUG,20.7,
2,8,BUG,22.73,
2,10,BUG,23,
2,11,BUG,23,
2,12,BUG,21.2,
2,13,BUG,23,
2,14,BUG,22.1,
2,15,BUG,20.1,
2,16,BUG,23.1,
2,17,BUG,21.4,
2,18,BUG,23,
2,19,BUG,21,
2,20,BUG,22.7,
2,21,BUG,23.6,
2,22,BUG,20.3,
2,24,BUG,22.6,
2,25,BUG,21.4,
2,26,BUG,23.6,
2,28,BUG,19.9,
2,29,BUG,21.7,
2,30,BUG,20.5,
2,31,BUG,22.9,
2,32,BUG,21.93,
2,33,BUG,23.2,
2,34,BUG,22.3,
2,35,BUG,20.6,
2,36,BUG,22.9,
