Block,Tank,Date,ElapsedHrs,SnailDensity,Complexity,NumberKilled,Notes,NumberKilled_Count2
2,1,10/5/2018,24,8,none,4,,4
2,2,10/5/2018,24,2,high,1,,1
2,3,10/5/2018,24,16,low,1,,1
2,4,10/5/2018,24,4,none,0,,1
2,5,10/5/2018,24,2,low,0,,0
2,6,10/5/2018,24,16,high,1,,2
2,7,10/5/2018,24,4,high,1,,2
2,8,10/5/2018,24,8,low,2,,3
2,9,10/5/2018,24,16,none,3,,4
2,10,10/5/2018,24,8,high,1,,2
2,11,10/5/2018,24,4,low,0,,1
2,12,10/5/2018,24,2,none,0,,0
2,13,10/5/2018,24,4,high,2,,2
2,14,10/5/2018,24,2,none,2,,2
2,15,10/5/2018,24,8,low,2,,1
2,16,10/5/2018,24,2,low,2,,2
2,17,10/5/2018,24,8,high,3,,3
2,18,10/5/2018,24,2,high,1,,2
2,19,10/5/2018,24,2,none,0,,0
2,20,10/5/2018,24,16,low,2,,2
2,21,10/5/2018,24,4,none,2,,1
2,22,10/5/2018,24,4,low,1,,1
2,23,10/5/2018,24,4,none,2,,2
2,24,10/5/2018,24,8,none,2,,3
2,25,10/5/2018,24,16,high,3,,2
2,26,10/5/2018,24,8,high,3,,2
2,27,10/5/2018,24,2,high,1,,1
2,28,10/5/2018,24,16,low,1,,0
2,29,10/5/2018,24,4,high,4,TLA counted 4,1
2,30,10/5/2018,24,8,none,1,,1
2,31,10/5/2018,24,4,low,2,,2
2,32,10/5/2018,24,8,low,5,eating one; TLA counted 4,3
2,33,10/5/2018,24,16,none,1,eating one,2
2,34,10/5/2018,24,16,high,2,,1
2,35,10/5/2018,24,2,low,0,,0
2,36,10/5/2018,24,16,none,4,,4
2,37,10/5/2018,24,16,high,0,,0
2,38,10/5/2018,24,16,none,0,,0
2,1,10/6/2018,48,8,none,6,,
2,2,10/6/2018,48,2,high,1,,
2,3,10/6/2018,48,16,low,4,,
2,4,10/6/2018,48,4,none,1,,
2,5,10/6/2018,48,2,low,0,,
2,6,10/6/2018,48,16,high,4,,
2,7,10/6/2018,48,4,high,1,,
2,8,10/6/2018,48,8,low,5,,
2,9,10/6/2018,48,16,none,7,,
2,10,10/6/2018,48,8,high,3,,
2,11,10/6/2018,48,4,low,1,,
2,12,10/6/2018,48,2,none,0,,
2,13,10/6/2018,48,4,high,4,,
2,14,10/6/2018,48,2,none,2,,
2,15,10/6/2018,48,8,low,1,,
2,16,10/6/2018,48,2,low,2,,
2,17,10/6/2018,48,8,high,5,,
2,18,10/6/2018,48,2,high,2,,
2,19,10/6/2018,48,2,none,0,,
2,20,10/6/2018,48,16,low,3,,
2,21,10/6/2018,48,4,none,1,,
2,22,10/6/2018,48,4,low,2,,
2,23,10/6/2018,48,4,none,3,,
2,24,10/6/2018,48,8,none,5,,
2,25,10/6/2018,48,16,high,4,,
2,26,10/6/2018,48,8,high,5,,
2,27,10/6/2018,48,2,high,2,,
2,28,10/6/2018,48,16,low,1,,
2,29,10/6/2018,48,4,high,4,,
2,30,10/6/2018,48,8,none,2,,
2,31,10/6/2018,48,4,low,4,,
2,32,10/6/2018,48,8,low,8,,
2,33,10/6/2018,48,16,none,2,,
2,34,10/6/2018,48,16,high,3,,
2,35,10/6/2018,48,2,low,0,,
2,36,10/6/2018,48,16,none,6,,
2,37,10/6/2018,48,16,high,0,,
