Block,Container,Species,Width_mm,Aperture_mm,Index
1,1,snail,11.57,5.58,2.073476703
1,1,snail,13.04,6.39,2.040688576
1,1,snail,12.96,6.07,2.13509061
1,1,snail,11.59,5.97,1.941373534
1,2,snail,12,5.85,2.051282051
1,2,snail,12.89,6.2,2.079032258
1,3,snail,14.04,6.24,2.25
1,3,snail,12.64,5.72,2.20979021
1,3,snail,13.76,6.2,2.219354839
1,3,snail,14.14,6.65,2.126315789
1,3,snail,14.73,7.99,1.843554443
1,3,snail,13.63,6.4,2.1296875
1,3,snail,13.28,6.72,1.976190476
1,3,snail,13.59,6.93,1.961038961
1,3,snail,11.8,6.13,1.924959217
1,3,snail,11.35,5.56,2.041366906
1,3,snail,12.82,6.21,2.064412238
1,3,snail,13.58,6.39,2.125195618
1,3,snail,13.1,6.37,2.056514914
1,3,snail,11.86,5.76,2.059027778
1,3,snail,12,5.55,2.162162162
1,3,snail,11.98,5.6,2.139285714
1,4,snail,12.08,6.22,1.942122186
1,4,snail,13.53,6.64,2.037650602
1,5,snail,13.66,6.72,2.032738095
1,5,snail,12.39,6.24,1.985576923
1,5,snail,13.62,6.42,2.121495327
1,5,snail,11.75,6.07,1.935749588
1,5,snail,11.82,6.21,1.903381643
1,5,snail,12.06,6.28,1.920382166
1,5,snail,12.71,6.33,2.007898894
1,5,snail,10.93,5.76,1.897569444
1,6,snail,13.42,5.95,2.255462185
1,6,snail,13.96,6.5,2.147692308
1,6,snail,14.47,6.18,2.341423948
1,6,snail,13.42,6.35,2.113385827
1,6,snail,12.68,6.15,2.061788618
1,6,snail,12.15,5.56,2.185251799
1,6,snail,13.48,6.19,2.177705977
1,6,snail,12.35,5.94,2.079124579
1,7,snail,12.2,6.13,1.990212072
1,7,snail,13.37,5.95,2.247058824
1,8,snail,14.23,6.55,2.172519084
1,8,snail,14.55,6.36,2.287735849
1,8,snail,11.08,5.95,1.862184874
1,8,snail,14.24,6.56,2.170731707
1,8,snail,11.83,5.35,2.211214953
1,8,snail,11.86,6.16,1.925324675
1,8,snail,11.77,6.04,1.948675497
1,8,snail,12.96,6.25,2.0736
1,8,snail,14.03,6.25,2.2448
1,8,snail,12.52,5.99,2.09015025
1,8,snail,11.68,5.68,2.056338028
1,8,snail,14.57,6.89,2.114658926
1,8,snail,11.99,6.1,1.96557377
1,8,snail,12.09,5.99,2.01836394
1,8,snail,12.09,5.98,2.02173913
1,8,snail,12.52,5.99,2.09015025
1,9,snail,11.8,5.7,2.070175439
1,9,snail,12.8,6,2.133333333
1,9,snail,12.4,5.8,2.137931034
1,9,snail,12.6,6.2,2.032258065
1,9,snail,12.6,6.4,1.96875
1,9,snail,11.7,6,1.95
1,9,snail,12.6,5.7,2.210526316
1,9,snail,11.4,5.8,1.965517241
1,10,snail,12.97,6.36,2.039308176
1,10,snail,11.62,5.86,1.982935154
1,10,snail,12.56,7.19,1.746870654
1,10,snail,12.17,5.96,2.041946309
1,11,snail,12.72,6.4,1.9875
1,11,snail,13.96,6.39,2.184663537
1,11,snail,12.1,6.01,2.013311148
1,11,snail,11.62,6.58,1.765957447
1,11,snail,11.2,6.18,1.812297735
1,11,snail,12.64,6.28,2.012738854
1,11,snail,14.26,6.7,2.128358209
1,11,snail,12.67,6.08,2.083881579
1,11,snail,12.34,6.29,1.961844197
1,11,snail,13.41,6.23,2.152487961
1,11,snail,11.93,5.95,2.005042017
1,11,snail,13.98,6.85,2.040875912
1,11,snail,12.57,6.12,2.053921569
1,11,snail,14.07,6.41,2.1950078
1,11,snail,12.04,5.97,2.016750419
1,11,snail,13.11,6.2,2.114516129
1,12,snail,12.9,6.3,2.047619048
1,12,snail,13.8,6.5,2.123076923
1,12,snail,12.4,5.9,2.101694915
1,12,snail,12.3,5.7,2.157894737
1,12,snail,13.6,6.4,2.125
1,12,snail,10.6,5.6,1.892857143
1,12,snail,10.3,5.9,1.745762712
1,12,snail,14.5,7,2.071428571
1,12,snail,12,6,2
1,12,snail,13.4,6.8,1.970588235
1,12,snail,11.4,6.1,1.868852459
1,12,snail,11.8,6.7,1.76119403
1,12,snail,13,5.7,2.280701754
1,12,snail,11.5,6,1.916666667
1,12,snail,12.9,6.6,1.954545455
1,12,snail,12,6.6,1.818181818
1,13,snail,12.65,5.8,2.181034483
1,13,snail,13.35,6.59,2.025796662
1,13,snail,13.26,6.01,2.206322795
1,13,snail,13.38,6.56,2.039634146
1,14,snail,14.21,6.31,2.251980983
1,14,snail,11.79,5.33,2.212007505
1,14,snail,12.46,5.72,2.178321678
1,14,snail,13.76,5.76,2.388888889
1,14,snail,13.63,5.8,2.35
1,14,snail,13.65,6.28,2.173566879
1,14,snail,12.99,6.6,1.968181818
1,14,snail,14.1,6.6,2.136363636
1,15,snail,12.73,5.94,2.143097643
1,15,snail,13.3,6.48,2.052469136
1,15,snail,12.81,6.62,1.935045317
1,15,snail,11.39,5.77,1.974003466
1,15,snail,11.71,6.12,1.913398693
1,15,snail,13.89,5.81,2.39070568
1,15,snail,12.09,5.78,2.091695502
1,15,snail,12.85,6.2,2.072580645
1,15,snail,12.98,6.33,2.050552923
1,15,snail,12.87,6.14,2.096091205
1,15,snail,13.1,6.23,2.102728732
1,15,snail,14.16,6.29,2.251192369
1,15,snail,12.39,5.77,2.147313692
1,15,snail,11.5,5.67,2.028218695
1,15,snail,12.19,5.87,2.076660988
1,15,snail,12.73,5.97,2.132328308
1,16,snail,12.2,6.2,1.967741935
1,16,snail,13.9,6.5,2.138461538
1,16,snail,11.9,5.6,2.125
1,16,snail,12.2,6.3,1.936507937
1,16,snail,12.4,6.2,2
1,16,snail,12.8,6.1,2.098360656
1,16,snail,12.1,6.9,1.753623188
1,16,snail,12.7,6.3,2.015873016
1,17,snail,11.3,5.7,1.98245614
1,17,snail,11.9,5.4,2.203703704
1,17,snail,13.8,5.9,2.338983051
1,17,snail,10.7,5.5,1.945454545
1,17,snail,11.4,5.7,2
1,17,snail,11.2,5.6,2
1,17,snail,11.5,5.7,2.01754386
1,17,snail,12.3,5.6,2.196428571
1,18,snail,13.52,6.26,2.159744409
1,18,snail,13.04,6.11,2.134206219
1,18,snail,13.76,6.33,2.173775671
1,18,snail,12.69,6.54,1.940366972
1,19,snail,12,6.5,1.846153846
1,19,snail,12.1,5.9,2.050847458
1,19,snail,12.3,5.6,2.196428571
1,19,snail,13.7,6.3,2.174603175
1,19,snail,11.3,6.8,1.661764706
1,19,snail,11.9,6.7,1.776119403
1,19,snail,13,6.2,2.096774194
1,19,snail,12,5.9,2.033898305
1,19,snail,11.4,5.8,1.965517241
1,19,snail,11.5,5.3,2.169811321
1,19,snail,12.9,5.9,2.186440678
1,19,snail,11.4,5.8,1.965517241
1,19,snail,12.5,6.1,2.049180328
1,19,snail,10.8,5,2.16
1,19,snail,12.7,6.3,2.015873016
1,19,snail,10.3,5.8,1.775862069
1,20,snail,12.6,6.1,2.06557377
1,20,snail,11.4185,6.2,#VALUE!
1,21,snail,11.1,5.5,2.018181818
1,21,snail,11.9,5.7,2.087719298
1,21,snail,11.1,5.6,1.982142857
1,21,snail,11.5,6,1.916666667
1,22,snail,13,6.4,2.03125
1,22,snail,12.2,5.8,2.103448276
1,23,snail,12.9,6.2,2.080645161
1,23,snail,12.2,6.5,1.876923077
1,23,snail,11.1,5.4,2.055555556
1,23,snail,12.3,6.4,1.921875
1,24,snail,13,6.6,1.96969697
1,24,snail,12.6,6.7,1.880597015
1,25,snail,14.2,6.7,2.119402985
1,25,snail,12.3,6.8,1.808823529
1,25,snail,13.5,6.4,2.109375
1,25,snail,13.2,6.7,1.970149254
1,25,snail,12.8,6.6,1.939393939
1,25,snail,14.5,6.1,2.37704918
1,25,snail,13.4,6.5,2.061538462
1,25,snail,12.6,6,2.1
1,25,snail,12,5.6,2.142857143
1,25,snail,11.2,6.3,1.777777778
1,25,snail,11.3,5.7,1.98245614
1,25,snail,11.6,5.5,2.109090909
1,25,snail,12,5.8,2.068965517
1,25,snail,12.8,5.8,2.206896552
1,25,snail,12.3,5.5,2.236363636
1,26,snail,13.1,6.2,2.112903226
1,26,snail,11.7,5.3,2.20754717
1,26,snail,11.9,5.6,2.125
1,26,snail,12.2,6.2,1.967741935
1,26,snail,12.9,5.9,2.186440678
1,26,snail,13.1,6.5,2.015384615
1,26,snail,11.9,5.7,2.087719298
1,26,snail,12.2,5.7,2.140350877
1,26,snail,12.9,6.2,2.080645161
1,26,snail,11.4,5.8,1.965517241
1,26,snail,11.3,6.6,1.712121212
1,26,snail,12.9,6.6,1.954545455
1,26,snail,11.4,5.9,1.93220339
1,26,snail,12.5,6.1,2.049180328
1,26,snail,11.8,5.5,2.145454545
2,2,snail,11.3,6,1.883333333
2,2,snail,11.1,6,1.85
2,3,snail,12.6,6.5,1.938461538
2,3,snail,11.5,5.8,1.982758621
2,3,snail,12.5,6.3,1.984126984
2,3,snail,11.3,6.1,1.852459016
2,3,snail,13.1,6.3,2.079365079
2,3,snail,11.6,5.8,2
2,3,snail,12.4,6,2.066666667
2,3,snail,10.9,5.7,1.912280702
2,3,snail,11.2,6,1.866666667
2,3,snail,12.1,6.1,1.983606557
2,3,snail,12.6,6,2.1
2,3,snail,13.5,7,1.928571429
2,3,snail,11.6,6.1,1.901639344
2,3,snail,11.4,6.3,1.80952381
2,3,snail,12.3,5.9,2.084745763
2,3,snail,11.2,6,1.866666667
2,4,snail,10.9,6,1.816666667
2,4,snail,11.6,5.9,1.966101695
2,4,snail,11.8,6,1.966666667
2,4,snail,10.8,5.8,1.862068966
2,5,snail,13.8,6.7,2.059701493
2,5,snail,12.3,5.8,2.120689655
2,6,snail,14.2,6.9,2.057971014
2,6,snail,13.2,6.3,2.095238095
2,6,snail,11.1,6.1,1.819672131
2,6,snail,12.2,6,2.033333333
2,6,snail,12.2,6.2,1.967741935
2,6,snail,13.1,6.4,2.046875
2,6,snail,11.8,6.3,1.873015873
2,6,snail,13.2,6.8,1.941176471
2,6,snail,11.4,6,1.9
2,6,snail,14.3,6.8,2.102941176
2,6,snail,13.1,5.9,2.220338983
2,6,snail,12,6.2,1.935483871
2,6,snail,13.3,7.1,1.873239437
2,6,snail,12.5,6,2.083333333
2,6,snail,14.3,6.3,2.26984127
2,7,snail,12,6.1,1.967213115
2,7,snail,12.9,6.4,2.015625
2,7,snail,12.4,6.1,2.032786885
2,7,snail,12.3,6.4,1.921875
2,8,snail,12.5,6.51,1.920122888
2,8,snail,11.79,5.86,2.011945392
2,8,snail,11.83,6.37,1.857142857
2,8,snail,12.17,5.66,2.150176678
2,8,snail,10.79,5.83,1.85077187
2,8,snail,11.05,5.53,1.998191682
2,8,snail,11.48,5.57,2.061041293
2,8,snail,11.22,5.38,2.085501859
2,9,snail,12.4,6.8,1.823529412
2,9,snail,14.2,6.3,2.253968254
2,9,snail,12.2,6.3,1.936507937
2,9,snail,12.9,6.5,1.984615385
2,9,snail,11.3,5.7,1.98245614
2,9,snail,11.2,5.9,1.898305085
2,9,snail,12.3,6,2.05
2,9,snail,10.8,5.5,1.963636364
2,9,snail,12.4,6.2,2
2,9,snail,11.9,6.6,1.803030303
2,9,snail,10.1,5.3,1.905660377
2,9,snail,9.5,5.5,1.727272727
2,9,snail,10.9,5.7,1.912280702
2,9,snail,12.7,6.2,2.048387097
2,9,snail,10.7,6.1,1.754098361
2,9,snail,11,6,1.833333333
2,10,snail,12.7,6.8,1.867647059
2,10,snail,11.3,5.8,1.948275862
2,10,snail,12.3,5.7,2.157894737
2,10,snail,12.8,6.2,2.064516129
2,10,snail,13.5,6.4,2.109375
2,10,snail,12.8,6.2,2.064516129
2,10,snail,13,6.6,1.96969697
2,10,snail,14.5,7.1,2.042253521
2,11,snail,13.5,6.5,2.076923077
2,11,snail,11.6,5.8,2
2,11,snail,12.2,6.3,1.936507937
2,11,snail,11.6,6.5,1.784615385
2,12,snail,14.7,6.7,2.194029851
2,12,snail,12.8,6.2,2.064516129
2,13,snail,13,6.1,2.131147541
2,13,snail,9.1,5.3,1.716981132
2,13,snail,11.5,5.9,1.949152542
2,13,snail,11.2,5.6,2
2,14,snail,11.8,5.8,2.034482759
2,14,snail,11.7,6.3,1.857142857
2,15,snail,12.8,6.8,1.882352941
2,15,snail,10.9,5.4,2.018518519
2,15,snail,11.1,6.1,1.819672131
2,15,snail,12.6,6.6,1.909090909
2,15,snail,11.7,6.2,1.887096774
2,15,snail,13,6,2.166666667
2,15,snail,11.7,6.1,1.918032787
2,15,snail,12.2,6.1,2
2,16,snail,11.4,5.8,1.965517241
2,16,snail,11.1,6.3,1.761904762
2,17,snail,12.1,5.9,2.050847458
2,17,snail,11.7,6.4,1.828125
2,17,snail,10.5,5.5,1.909090909
2,17,snail,13.4,6.8,1.970588235
2,17,snail,11.3,5.7,1.98245614
2,17,snail,10.2,5.1,2
2,17,snail,11,5.7,1.929824561
2,17,snail,12.9,6.2,2.080645161
2,19,snail,13.2,6.4,2.0625
2,19,snail,12.7,6.5,1.953846154
2,20,snail,12.7,6.3,2.015873016
2,20,snail,12.9,5.9,2.186440678
2,20,snail,12.1,6.2,1.951612903
2,20,snail,13.1,6.9,1.898550725
2,20,snail,13.2,6,2.2
2,20,snail,13.1,6.4,2.046875
2,20,snail,10.1,5.5,1.836363636
2,20,snail,13.4,6.5,2.061538462
2,20,snail,12.5,5.2,2.403846154
2,20,snail,11.1,6,1.85
2,20,snail,14,6.1,2.295081967
2,20,snail,11.7,5.6,2.089285714
2,20,snail,12.6,6.1,2.06557377
2,20,snail,12.1,6.4,1.890625
2,20,snail,12.4,5.8,2.137931034
2,20,snail,13.5,6.8,1.985294118
2,21,snail,14.1,7.3,1.931506849
2,21,snail,12.8,7.3,1.753424658
2,21,snail,12.9,6.3,2.047619048
2,21,snail,12.1,5.7,2.122807018
2,22,snail,10.8,5.7,1.894736842
2,22,snail,11.4,6.3,1.80952381
2,24,snail,12.2,6.4,1.90625
2,24,snail,12.2,6.1,2
2,24,snail,11.9,6.2,1.919354839
2,24,snail,12.1,6.4,1.890625
2,24,snail,12.8,6.4,2
2,24,snail,12.6,6.6,1.909090909
2,24,snail,12.4,5.9,2.101694915
2,24,snail,12,5.7,2.105263158
2,25,snail,11.8,5.7,2.070175439
2,25,snail,12.8,6.1,2.098360656
2,25,snail,12,6.1,1.967213115
2,25,snail,12.5,6.6,1.893939394
2,25,snail,12.6,6.2,2.032258065
2,25,snail,11.7,5.9,1.983050847
2,25,snail,13.2,6.1,2.163934426
2,25,snail,13.4,7.1,1.887323944
2,25,snail,11.6,6.2,1.870967742
2,25,snail,12.2,6.2,1.967741935
2,25,snail,13.9,7.3,1.904109589
2,25,snail,12.5,5.9,2.118644068
2,25,snail,11.5,6.4,1.796875
2,25,snail,13.7,6.8,2.014705882
2,25,snail,12.1,6.6,1.833333333
2,25,snail,12.5,6.2,2.016129032
2,26,snail,11,6.2,1.774193548
2,26,snail,11.3,5.9,1.915254237
2,26,snail,11.9,5.9,2.016949153
2,26,snail,11.4,5.6,2.035714286
2,26,snail,12.1,5.9,2.050847458
2,26,snail,11.9,6.2,1.919354839
2,26,snail,11.3,5.8,1.948275862
2,26,snail,11,5.7,1.929824561
2,28,snail,13,6.7,1.940298507
2,28,snail,13.4,6.6,2.03030303
2,28,snail,13.1,6.2,2.112903226
2,28,snail,13.1,6.5,2.015384615
2,28,snail,13.6,6.4,2.125
2,28,snail,11.5,5.7,2.01754386
2,28,snail,12.4,6.1,2.032786885
2,28,snail,12,5.9,2.033898305
2,28,snail,13.2,6.3,2.095238095
2,28,snail,11.9,5.9,2.016949153
2,28,snail,11.9,5.8,2.051724138
2,28,snail,13.6,6.3,2.158730159
2,28,snail,12.1,5.5,2.2
2,28,snail,12.5,6.3,1.984126984
2,28,snail,12.2,6.2,1.967741935
2,29,snail,13.3,6.9,1.927536232
2,29,snail,12,5.9,2.033898305
2,29,snail,11.9,5.9,2.016949153
2,29,snail,11.5,6.1,1.885245902
2,30,snail,11.8,5.8,2.034482759
2,30,snail,12.6,6.1,2.06557377
2,30,snail,11.7,5.4,2.166666667
2,30,snail,12.1,5.9,2.050847458
2,30,snail,12.8,5.9,2.169491525
2,30,snail,10.2,5.8,1.75862069
2,30,snail,12.8,6.6,1.939393939
2,30,snail,12.2,6.2,1.967741935
2,31,snail,11.9,6,1.983333333
2,31,snail,11.1,6.4,1.734375
